,tweet_id,tclass
594,644919319684583424,vins1
1091,644920429702979584,PoliticaJxSi
949,644923203534614528,PoliticaJxSi
1416,644924400106635264,PoliticaJxSi
1338,644924900940115968,PoliticaJxSi
1417,644925070771679232,PoliticaJxSi
1419,644925968344317952,PoliticaJxSi
955,644926949249429504,PoliticaJxSi
1158,644927907371032576,PoliticaJxSi
1342,644928415188058112,PoliticaJxSi
956,644929025819938816,PoliticaJxSi
1425,644931131448688640,PoliticaJxSi
1284,644931696853446656,PoliticaJxSi
1045,644932504751898624,PoliticaJxSi
1108,644932769315954688,PoliticaJxSi
1109,644932806179688448,PoliticaJxSi
1165,644933859587584000,PoliticaJxSi
1294,644936118752935936,PoliticaJxSi
1834,645563865594470400,castellers
1887,645564101465391104,castellers
2166,645564436623847424,vins1
2048,645565198493945856,castellers
2049,645565652091170816,castellers
2171,645566702839853056,castellers
2052,645567731102810112,castellers
1906,645568607552937984,vins1
1978,645570433060876288,vanvanmarket
1854,645575134867255296,vanvanmarket
1992,645576003209809920,vanvanmarket
2127,645576625854267392,castellers
2066,645577710224441344,castellers
2001,645578689833533440,vanvanmarket
2005,645580079641313280,40principales
1928,645580719071330304,vanvanmarket
1929,645581194281791488,vanvanmarket
2201,645583421989879808,vanvanmarket
2209,645585360798502912,vanvanmarket
2461,645585773379649536,castellers
2215,645586979510464512,castellers
2402,645587726813786112,vanvanmarket
2277,645588084512436224,40principales
2344,645588388637200384,castellers
2465,645588647920730112,castellers
2407,645589180995792896,castellers
2350,645590357938454528,castellers
2411,645590563027292160,vanvanmarket
2353,645591292857024512,castellers
2414,645592351533072384,castellers
2416,645592387218223104,vanvanmarket
2227,645592492990140416,vanvanmarket
2417,645593830780223488,castellers
2301,645596571086753792,40principales
2428,645598423606013952,vins1
2241,645598980370485248,vanvanmarket
2244,645601276567404544,castellers
2311,645602632040484864,castellers
2248,645602811934326784,vanvanmarket
2381,645603633908842496,vanvanmarket
2323,645608255302070272,castellers
2262,645610847222525952,vanvanmarket
2334,645613421984120832,vanvanmarket
2395,645614455527723008,vanvanmarket
2518,645616049778499584,castellers
2720,645616251482566656,vins1
2591,645617692527980544,vanvanmarket
2727,645617893602930688,SagradaFamilia
2651,645617999077068800,vanvanmarket
2524,645618330167083008,vanvanmarket
2731,645619042070433792,vanvanmarket
2654,645619358077726720,barca
2656,645621608116277248,vanvanmarket
2738,645622727974514688,barca
2534,645623648439693312,vins1
2740,645623962056134656,barca
2538,645624068843139072,barca
2544,645627540833476608,barca
2550,645628437063966720,vanvanmarket
2752,645628818326192128,barca
2755,645630263930822656,SagradaFamilia
2754,645630286080966656,barca
2758,645631073121079296,correfoc
2561,645631898144894976,SagradaFamilia
2563,645632458201899008,barca
2564,645633146273308672,correfoc
2768,645635815524159488,vanvanmarket
2700,645638218436734976,barca
2635,645638288448090112,barca
2702,645638901378514944,SagradaFamilia
2780,645639660266520576,barca
2781,645640002563670016,SagradaFamilia
2708,645640712080506880,SagradaFamilia
2710,645641200364556288,SagradaFamilia
3165,645642160109391872,SagradaFamilia
3245,645644687425044480,40principales
3343,645645055018029056,correfoc
3178,645645153366089728,vanvanmarket
3253,645646487662235648,barca
3348,645647094808727552,barca
3187,645647886827585536,vanvanmarket
3353,645647939390566400,barca
3260,645648026351091712,SagradaFamilia
3354,645648150242443264,barca
3356,645648364311285760,barca
3264,645648852784168960,40principales
